tx_depth_ndx,rx_depth_ndx,rx_range_ndx,tx_depth,rx_depth,rx_range,arrival_number,arrival_amplitude,time_of_arrival,complex_time_of_arrival,angle_of_departure,angle_of_arrival,surface_bounces,bottom_bounces
0,0,0,2.0,4.0,50.0,0,(-6.691966475872037e-05+2.9739891349764815e-05j),0.0490621962,(0.0490621962-3.30146946e-07j),-47.3578606,47.3578606,4,3
0,0,0,2.0,4.0,50.0,1,(-2.8907650341192333e-05+8.264142186006934e-06j),0.0490612984,(0.0490612984-3.30140892e-07j),-46.8227425,46.8227425,4,3
0,0,0,2.0,4.0,50.0,2,(7.2050309543509655e-06+1.3283297546159095e-05j),0.0452926233,(0.0452926233-3.04780912e-07j),-43.0769234,-43.0769234,3,3
0,0,0,2.0,4.0,50.0,3,(6.504407658197615e-05+7.227200669032477e-05j),0.0452941135,(0.0452941135-3.04790944e-07j),-42.5418053,-42.5418053,3,3
0,0,0,2.0,4.0,50.0,4,(2.6714136991407952e-05-4.2498874626446645e-05j),0.0418659784,(0.0418659784-2.81722521e-07j),-37.7257538,37.7257538,3,2
0,0,0,2.0,4.0,50.0,5,(0.00017612130073572048-0.0005312752597442094j),0.041867502,(0.041867502-2.81732781e-07j),-37.1906357,37.1906357,3,2
0,0,0,2.0,4.0,50.0,6,(0.00010694628161910328+0.00021400281231791614j),0.0388723277,(0.0388723277-2.61577782e-07j),-31.304348,-31.304348,2,2
0,0,0,2.0,4.0,50.0,7,(0.0002156495597149188+0.00036051137397710714j),0.0388727896,(0.0388727896-2.6158088e-07j),-30.7692299,-30.7692299,2,2
0,0,0,2.0,4.0,50.0,8,(-0.002931420200913707-0.0010407526103123617j),0.0364173129,(0.0364173129-2.45057606e-07j),-23.8127098,23.8127098,2,1
0,0,0,2.0,4.0,50.0,9,(-0.0003605878729780005-0.00021048690910071974j),0.0364160985,(0.0364160985-2.45049449e-07j),-23.2775917,23.2775917,2,1
0,0,0,2.0,4.0,50.0,10,(0.002297605031969862+0.0014743800918201318j),0.0346152373,(0.0346152373-2.32931171e-07j),-15.7859535,-15.7859535,1,1
0,0,0,2.0,4.0,50.0,11,(0.0007885701392294098+0.0006218329948638515j),0.0346145406,(0.0346145406-2.32926482e-07j),-15.2508364,-15.2508364,1,1
0,0,0,2.0,4.0,50.0,12,(0.0014790634529653133+0.005303949852504843j),0.0335717313,(0.0335717313-2.25909275e-07j),-7.22408009,7.22408009,1,0
0,0,0,2.0,4.0,50.0,13,(0.0049350073191482945+0.012735997257710362j),0.0335723534,(0.0335723534-2.25913453e-07j),-6.68896341,6.68896341,1,0
0,0,0,2.0,4.0,50.0,14,(0.004191408411498582+0.0005945778900441649j),0.0333591029,(0.0333591029-2.24478455e-07j),1.87290967,1.87290967,0,0
0,0,0,2.0,4.0,50.0,15,(0.015056758225109308+0.00019229390088889537j),0.0333599187,(0.0333599187-2.24483955e-07j),2.4080267,2.4080267,0,0
0,0,0,2.0,4.0,50.0,16,(0.0010167192945071517+0.0009722753745473654j),0.0339928642,(0.0339928642-2.28743133e-07j),10.9699001,-10.9699001,0,1
0,0,0,2.0,4.0,50.0,17,(0.0018186003771695142+0.0016306124472973544j),0.0339932665,(0.0339932665-2.28745833e-07j),11.5050163,-11.5050163,0,1
0,0,0,2.0,4.0,50.0,18,(0.0011712708685437869-0.0034407402912415438j),0.0354271606,(0.0354271606-2.38394719e-07j),19.7986221,19.7986221,1,1
0,0,0,2.0,4.0,50.0,19,(5.50510968227161e-06+0.0001074920095895452j),0.0375695117,(0.0375695117-2.52810935e-07j),27.0234108,-27.0234108,1,2
0,0,0,2.0,4.0,50.0,20,(0.00012721887764495512+0.0005616209092708499j),0.037570633,(0.037570633-2.52818495e-07j),27.5585289,-27.5585289,1,2
0,0,0,2.0,4.0,50.0,21,(1.5738925460113525e-06+0.0006346530378147026j),0.0403094776,(0.0403094776-2.71248553e-07j),34.2152786,34.2152786,2,2
0,0,0,2.0,4.0,50.0,22,(-4.040002871742179e-05-7.058588713711021e-05j),0.0435326956,(0.0435326956-2.92938097e-07j),39.8662224,-39.8662224,2,3
0,0,0,2.0,4.0,50.0,23,(-1.402553750276466e-05-3.29482811237319e-05j),0.0435319617,(0.0435319617-2.92933152e-07j),40.4013367,-40.4013367,2,3
0,0,0,2.0,4.0,50.0,24,(4.385874486599338e-05-1.6314382696390933e-06j),0.0471397266,(0.0471397266-3.17210379e-07j),44.6822739,44.6822739,3,3
0,0,0,2.0,4.0,50.0,25,(6.354895403986564e-05-6.1545972914069e-06j),0.047140114,(0.047140114-3.17212965e-07j),45.217392,45.217392,3,3
