tx_depth_ndx,rx_depth_ndx,rx_range_ndx,tx_depth,rx_depth,rx_range,arrival_number,arrival_amplitude,time_of_arrival,complex_time_of_arrival,angle_of_departure,angle_of_arrival,surface_bounces,bottom_bounces
0,0,0,2.0,4.0,50.0,0,(1.5830777233709995e-05+6.419213241063023e-05j),0.0757304728,(0.0757304728-5.09601819e-07j),-63.9464874,63.9464874,7,6
0,0,0,2.0,4.0,50.0,1,(-1.3502123751843534e-06+8.484847208955761e-06j),0.0757279173,(0.0757279173-5.09584652e-07j),-63.4113731,63.4113731,7,6
0,0,0,2.0,4.0,50.0,2,(-2.8479471999537406e-05+9.550072515056265e-07j),0.0709791109,(0.0709791109-4.77629158e-07j),-62.3411369,-62.3411369,6,6
0,0,0,2.0,4.0,50.0,3,(-5.3457077469493846e-05+1.3700485274887036e-05j),0.0709804818,(0.0709804818-4.77638423e-07j),-61.8060188,-61.8060188,6,6
0,0,0,2.0,4.0,50.0,4,(5.932724273229508e-05+1.2852921312460474e-05j),0.0663176775,(0.0663176775-4.46261708e-07j),-60.2006683,60.2006683,6,5
0,0,0,2.0,4.0,50.0,5,(0.00014402011704888826+4.320407268114136e-06j),0.0663188323,(0.0663188323-4.46269468e-07j),-59.6655502,59.6655502,6,5
0,0,0,2.0,4.0,50.0,6,(-6.291501580690119e-05+0.00013882535011693184j),0.0617662594,(0.0617662594-4.15634531e-07j),-57.5250854,-57.5250854,5,5
0,0,0,2.0,4.0,50.0,7,(-4.352451174014051e-05+7.069248173587749e-05j),0.0617654398,(0.0617654398-4.15628989e-07j),-56.9899673,-56.9899673,5,5
0,0,0,2.0,4.0,50.0,8,(3.8872761375560624e-05-0.0001529776147122422j),0.0573475249,(0.0573475249-3.85900194e-07j),-54.8494987,54.8494987,5,4
0,0,0,2.0,4.0,50.0,9,(2.9906706095937678e-05-0.00042070061836733697j),0.0573486425,(0.0573486425-3.85907725e-07j),-54.3143806,54.3143806,5,4
0,0,0,2.0,4.0,50.0,10,(-1.4442866559904149e-05-4.039340876222294e-06j),0.0530972742,(0.0530972742-3.57299598e-07j),-51.6387978,-51.6387978,4,4
0,0,0,2.0,4.0,50.0,11,(-0.0006782776455115231+5.2930936207608985e-05j),0.053099487,(0.053099487-3.57314491e-07j),-51.1036797,-51.1036797,4,4
0,0,0,2.0,4.0,50.0,12,(-0.0010761217154503372+0.000564289524207087j),0.0490621962,(0.0490621962-3.30146946e-07j),-47.3578606,47.3578606,4,3
0,0,0,2.0,4.0,50.0,13,(-0.00047809214595457796+0.00017195099869303035j),0.0490612984,(0.0490612984-3.30140892e-07j),-46.8227425,46.8227425,4,3
0,0,0,2.0,4.0,50.0,14,(0.00016379284385085717+0.000248460903851987j),0.0452926233,(0.0452926233-3.04780912e-07j),-43.0769234,-43.0769234,3,3
