tx_depth_ndx,rx_depth_ndx,rx_range_ndx,tx_depth,rx_depth,rx_range,arrival_number,arrival_amplitude,time_of_arrival,complex_time_of_arrival,angle_of_departure,angle_of_arrival,surface_bounces,bottom_bounces
0,0,0,2.0,4.0,50.0,0,(3.3236141256771e-06-9.290857568008196e-06j),0.105406582,(0.105406582-7.09296842e-07j),-71.9732437,71.9732437,10,9
0,0,0,2.0,4.0,50.0,1,(-1.219237427327498e-06-3.265034196604817e-05j),0.105408996,(0.105408996-7.09313099e-07j),-71.4381256,71.4381256,10,9
0,0,0,2.0,4.0,50.0,2,(-1.6713559165902424e-05+1.0794710220499176e-05j),0.100362398,(0.100362398-6.7535376e-07j),-70.9030075,-70.9030075,9,9
0,0,0,2.0,4.0,50.0,3,(-2.07736768770869e-05+1.6147499324853877e-05j),0.100362942,(0.100362942-6.75357455e-07j),-70.3678894,-70.3678894,9,9
0,0,0,2.0,4.0,50.0,4,(2.325470156036077e-06-3.81260439884987e-05j),0.0953484774,(0.0953484774-6.41614349e-07j),-69.8327789,69.8327789,9,8
0,0,0,2.0,4.0,50.0,5,(3.1337075186514736e-07-4.827794930795988e-05j),0.0953488126,(0.0953488126-6.41616623e-07j),-69.2976608,69.2976608,9,8
0,0,0,2.0,4.0,50.0,6,(-3.3068573240444445e-06-2.202649488400405e-05j),0.0903697908,(0.0903697908-6.08112032e-07j),-68.7625427,-68.7625427,8,8
0,0,0,2.0,4.0,50.0,7,(-3.322802543142161e-05-6.47758866824649e-05j),0.0903718472,(0.0903718472-6.08125845e-07j),-68.2274246,-68.2274246,8,8
0,0,0,2.0,4.0,50.0,8,(0.0001326228087419165+3.644719448916472e-05j),0.0854372457,(0.0854372457-5.74920193e-07j),-67.1571884,67.1571884,8,7
0,0,0,2.0,4.0,50.0,9,(3.437661595736177e-05+2.286559326303277e-05j),0.0854352042,(0.0854352042-5.74906437e-07j),-66.6220703,66.6220703,8,7
0,0,0,2.0,4.0,50.0,10,(-2.972094269159788e-07-1.4931430093137272e-06j),0.0805501789,(0.0805501789-5.420344e-07j),-66.0869598,-66.0869598,7,7
0,0,0,2.0,4.0,50.0,11,(-0.00013400445650095736-0.00014628212542018692j),0.080553636,(0.080553636-5.42057649e-07j),-65.5518417,-65.5518417,7,7
0,0,0,2.0,4.0,50.0,12,(7.507038114991981e-05+0.0003260603829017218j),0.0757304728,(0.0757304728-5.09601819e-07j),-63.9464874,63.9464874,7,6
0,0,0,2.0,4.0,50.0,13,(-7.527439447320665e-06+4.308175761896395e-05j),0.0757279173,(0.0757279173-5.09584652e-07j),-63.4113731,63.4113731,7,6
0,0,0,2.0,4.0,50.0,14,(-0.00014684831554127674+2.8065556742670135e-06j),0.0709791109,(0.0709791109-4.77629158e-07j),-62.3411369,-62.3411369,6,6
0,0,0,2.0,4.0,50.0,15,(-0.00027834677610643715+6.72067182813697e-05j),0.0709804818,(0.0709804818-4.77638423e-07j),-61.8060188,-61.8060188,6,6
0,0,0,2.0,4.0,50.0,16,(0.00023773430792237442+5.4080463171283794e-05j),0.0663176775,(0.0663176775-4.46261708e-07j),-60.2006683,60.2006683,6,5
0,0,0,2.0,4.0,50.0,17,(0.000582117806292717+2.3177252695658864e-05j),0.0663188323,(0.0663188323-4.46269468e-07j),-59.6655502,59.6655502,6,5
0,0,0,2.0,4.0,50.0,18,(-0.0002662872914009722+0.0005766425495763106j),0.0617662594,(0.0617662594-4.15634531e-07j),-57.5250854,-57.5250854,5,5
0,0,0,2.0,4.0,50.0,19,(-0.00018478572965300113+0.00029596879360073403j),0.0617654398,(0.0617654398-4.15628989e-07j),-56.9899673,-56.9899673,5,5
0,0,0,2.0,4.0,50.0,20,(0.0001271978334550475-0.0004975725013855311j),0.0573475249,(0.0573475249-3.85900194e-07j),-54.8494987,54.8494987,5,4
0,0,0,2.0,4.0,50.0,21,(9.857279812451714e-05-0.0013811004269768678j),0.0573486425,(0.0573486425-3.85907725e-07j),-54.3143806,54.3143806,5,4
0,0,0,2.0,4.0,50.0,22,(-5.012553929464963e-05-1.3592249567978193e-05j),0.0530972742,(0.0530972742-3.57299598e-07j),-51.6387978,-51.6387978,4,4
0,0,0,2.0,4.0,50.0,23,(-0.0023772554344426216+0.0002099940386769999j),0.053099487,(0.053099487-3.57314491e-07j),-51.1036797,-51.1036797,4,4
0,0,0,2.0,4.0,50.0,24,(-0.002972377652288952+0.0016726270758211641j),0.0490621962,(0.0490621962-3.30146946e-07j),-47.3578606,47.3578606,4,3
0,0,0,2.0,4.0,50.0,25,(-0.0013477127200760071+0.000538986139867179j),0.0490612984,(0.0490612984-3.30140892e-07j),-46.8227425,46.8227425,4,3
