tx_depth_ndx,rx_depth_ndx,rx_range_ndx,tx_depth,rx_depth,rx_range,arrival_number,arrival_amplitude,time_of_arrival,complex_time_of_arrival,angle_of_departure,angle_of_arrival,surface_bounces,bottom_bounces
0,0,0,2.0,4.0,50.0,0,(2.4804259396739977e-05+5.622702721425808e-06j),0.0663176775,(0.0663176775-4.46261708e-07j),-60.2006683,60.2006683,6,5
0,0,0,2.0,4.0,50.0,1,(6.0101194194797666e-05+2.3966722518637984e-06j),0.0663188323,(0.0663188323-4.46269468e-07j),-59.6655502,59.6655502,6,5
0,0,0,2.0,4.0,50.0,2,(-2.6485175671791493e-05+5.673799653048439e-05j),0.0617662594,(0.0617662594-4.15634531e-07j),-57.5250854,-57.5250854,5,5
0,0,0,2.0,4.0,50.0,3,(-1.8136856028977152e-05+2.870526145139258e-05j),0.0617654398,(0.0617654398-4.15628989e-07j),-56.9899673,-56.9899673,5,5
0,0,0,2.0,4.0,50.0,4,(1.9510504276877415e-05-7.346072000851743e-05j),0.0573475249,(0.0573475249-3.85900194e-07j),-54.8494987,54.8494987,5,4
0,0,0,2.0,4.0,50.0,5,(1.6594519834068834e-05-0.00020154931790099446j),0.0573486425,(0.0573486425-3.85907725e-07j),-54.3143806,54.3143806,5,4
0,0,0,2.0,4.0,50.0,6,(-6.732501624540004e-06-1.9832908481657334e-06j),0.0530972742,(0.0530972742-3.57299598e-07j),-51.6387978,-51.6387978,4,4
0,0,0,2.0,4.0,50.0,7,(-0.00031601064190966467+2.008607072476264e-05j),0.053099487,(0.053099487-3.57314491e-07j),-51.1036797,-51.1036797,4,4
0,0,0,2.0,4.0,50.0,8,(-0.0005903195575045794+0.0002981158294601104j),0.0490621962,(0.0490621962-3.30146946e-07j),-47.3578606,47.3578606,4,3
0,0,0,2.0,4.0,50.0,9,(-0.0002601263835134427+8.883097986000522e-05j),0.0490612984,(0.0490612984-3.30140892e-07j),-46.8227425,46.8227425,4,3
0,0,0,2.0,4.0,50.0,10,(8.09106788647142e-05+0.00012969177979367855j),0.0452926233,(0.0452926233-3.04780912e-07j),-43.0769234,-43.0769234,3,3
0,0,0,2.0,4.0,50.0,11,(0.0007144094822075799+0.0007002624101172554j),0.0452941135,(0.0452941135-3.04790944e-07j),-42.5418053,-42.5418053,3,3
0,0,0,2.0,4.0,50.0,12,(0.00013040894162288892-0.0002362797364467153j),0.0418659784,(0.0418659784-2.81722521e-07j),-37.7257538,37.7257538,3,2
0,0,0,2.0,4.0,50.0,13,(0.0007901928807381519-0.002959806888818275j),0.041867502,(0.041867502-2.81732781e-07j),-37.1906357,37.1906357,3,2
0,0,0,2.0,4.0,50.0,14,(0.0009330696440205457+0.0014550668357301078j),0.0388723277,(0.0388723277-2.61577782e-07j),-31.304348,-31.304348,2,2
0,0,0,2.0,4.0,50.0,15,(0.0019135537028454348+0.002496952893016087j),0.0388727896,(0.0388727896-2.6158088e-07j),-30.7692299,-30.7692299,2,2
0,0,0,2.0,4.0,50.0,16,(-0.012119478855250831-0.0006589586843797247j),0.0364173129,(0.0364173129-2.45057606e-07j),-23.8127098,23.8127098,2,1
0,0,0,2.0,4.0,50.0,17,(-0.0016308926152539625-0.0003293726679144177j),0.0364160985,(0.0364160985-2.45049449e-07j),-23.2775917,23.2775917,2,1
0,0,0,2.0,4.0,50.0,18,(0.011323639586930147-0.003765087939684459j),0.0346152373,(0.0346152373-2.32931171e-07j),-15.7859535,-15.7859535,1,1
0,0,0,2.0,4.0,50.0,19,(0.004248199758522248-0.0011363373820050164j),0.0346145406,(0.0346145406-2.32926482e-07j),-15.2508364,-15.2508364,1,1
0,0,0,2.0,4.0,50.0,20,(0.0014790634529653133+0.005303949852504843j),0.0335717313,(0.0335717313-2.25909275e-07j),-7.22408009,7.22408009,1,0
0,0,0,2.0,4.0,50.0,21,(0.0049350073191482945+0.012735997257710362j),0.0335723534,(0.0335723534-2.25913453e-07j),-6.68896341,6.68896341,1,0
0,0,0,2.0,4.0,50.0,22,(0.004191408411498582+0.0005945778900441649j),0.0333591029,(0.0333591029-2.24478455e-07j),1.87290967,1.87290967,0,0
0,0,0,2.0,4.0,50.0,23,(0.015056758225109308+0.00019229390088889537j),0.0333599187,(0.0333599187-2.24483955e-07j),2.4080267,2.4080267,0,0
0,0,0,2.0,4.0,50.0,24,(0.00560969684089023-0.0026271597382532853j),0.0339928642,(0.0339928642-2.28743133e-07j),10.9699001,-10.9699001,0,1
0,0,0,2.0,4.0,50.0,25,(0.009728737159970248-0.0045965510861403006j),0.0339932665,(0.0339932665-2.28745833e-07j),11.5050163,-11.5050163,0,1
0,0,0,2.0,4.0,50.0,26,(-0.004470828678950102-0.01484236460625078j),0.0354271606,(0.0354271606-2.38394733e-07j),19.7979012,19.7979012,1,1
0,0,0,2.0,4.0,50.0,27,(0.0003125372968356376+0.0010858140045724926j),0.0375695117,(0.0375695117-2.52810935e-07j),27.0234108,-27.0234108,1,2
0,0,0,2.0,4.0,50.0,28,(0.002348280438948812+0.005189570478096109j),0.037570633,(0.037570633-2.52818495e-07j),27.5585289,-27.5585289,1,2
